TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,EFG_D
Evansville,MVC,29,6,92.0,106.3,0.16,46.9,17.2,17.9,14.4,22.3,24.6,31.0,45.2,55.3,32.6,38.4,63.9,-16.4,DNC,56.1
Grambling St.,SWAC,30,12,92.1,106.4,0.1597,44.6,20.0,19.2,27.4,31.4,33.4,40.8,43.8,46.3,31.1,35.7,69.2,-13.6,DNC,48.9
Sacred Heart,NEC,29,10,100.3,116.1,0.1577,50.8,19.6,15.7,30.8,31.3,24.9,25.5,50.5,53.6,34.2,35.0,67.4,-16.7,DNC,53.2
St. Francis PA,NEC,29,9,94.5,109.5,0.1558,46.9,18.1,18.3,30.5,31.9,29.8,25.6,46.7,51.4,31.5,35.9,67.1,-16.6,DNC,52.4
Alabama St.,SWAC,30,10,95.8,111.1,0.1532,47.7,21.5,19.4,29.5,33.5,36.9,33.8,46.8,50.8,33.0,33.2,69.8,-14.3,DNC,50.4
Southern Miss,CUSA,31,7,94.9,110.5,0.1473,46.9,19.7,15.9,23.7,28.4,26.7,28.1,47.0,52.6,31.0,37.4,67.1,-18.9,DNC,54.1
Alabama A&M,SWAC,30,12,86.1,100.3,0.1471,41.3,19.6,19.6,28.7,31.0,33.5,28.6,41.5,45.2,27.1,32.0,66.6,-14.0,DNC,46.3
Idaho,BSky,29,9,97.5,114.1,0.1406,50.2,18.5,14.5,23.3,26.3,33.8,33.9,47.4,55.5,36.7,35.1,70.2,-17.7,DNC,54.6
Idaho St.,BSky,28,7,94.1,110.3,0.1387,47.4,21.1,16.7,27.6,27.5,33.0,35.2,49.6,54.5,29.6,34.1,63.9,-18.9,DNC,53.2
Green Bay,Horz,29,5,92.2,108.2,0.1381,46.5,19.9,18.1,26.6,28.7,32.0,31.7,48.9,53.6,28.0,34.7,64.5,-20.4,DNC,53.0
Northern Arizona,BSky,30,9,94.7,111.3,0.1359,47.9,20.4,13.8,28.9,23.5,27.7,34.1,45.4,52.2,34.3,36.3,65.3,-18.0,DNC,53.0
Milwaukee,Horz,31,10,91.7,107.9,0.1327,47.7,19.6,14.9,25.9,30.1,28.0,29.1,47.5,45.3,31.9,33.8,66.9,-17.8,DNC,47.5
Cal St. Northridge,BW,28,7,93.5,110.2,0.132,44.4,18.5,19.9,26.8,33.0,29.6,36.5,44.0,53.1,30.2,33.2,64.9,-17.4,DNC,51.9
Northwestern St.,Slnd,29,9,96.7,113.9,0.1317,49.5,20.1,17.1,27.8,32.2,25.0,34.1,48.4,54.4,34.4,34.0,71.2,-16.4,DNC,53.2
William & Mary,CAA,31,5,90.2,106.3,0.1304,46.0,23.1,17.9,27.1,27.7,30.3,27.2,45.5,55.7,31.1,33.7,68.9,-20.4,DNC,53.6
American,Pat,32,10,93.2,109.9,0.1302,49.6,20.2,17.4,25.0,29.0,25.6,28.9,49.6,53.9,33.1,34.7,65.0,-18.1,DNC,53.3
Chicago St.,WAC,32,7,95.6,113.1,0.1273,45.9,22.0,18.6,31.6,32.2,29.3,38.5,45.2,50.0,31.1,40.1,66.2,-18.1,DNC,53.6
Charleston Southern,BSth,28,6,92.9,111.3,0.111,46.2,21.4,17.3,26.2,25.7,28.4,30.0,47.1,56.1,30.1,36.1,69.2,-20.0,DNC,55.4
NJIT,AE,28,11,89.4,107.4,0.1087,46.5,18.7,16.7,23.2,27.9,31.0,27.0,45.1,51.0,32.6,34.0,66.2,-13.3,DNC,51.0
North Dakota,Sum,29,6,96.1,115.4,0.1084,47.2,17.5,13.6,26.8,25.8,31.6,30.5,44.7,55.8,33.5,38.1,67.4,-20.7,DNC,56.3
Fairleigh Dickinson,NEC,26,4,94.7,114.1,0.1049,46.4,19.3,18.1,27.7,34.1,27.8,34.1,45.2,54.5,32.4,35.1,69.6,-17.2,DNC,53.8
Nebraska Omaha,Sum,29,5,96.5,116.5,0.1028,49.3,19.3,14.7,24.6,30.0,28.3,37.4,46.9,54.0,35.8,39.9,69.8,-18.5,DNC,56.3
Lamar,WAC,27,2,90.9,110.6,0.0952,44.5,21.5,17.8,30.0,31.7,26.2,38.5,44.1,52.7,30.2,35.5,66.0,-21.1,DNC,52.9
Holy Cross,Pat,29,9,90.8,111.2,0.0887,45.1,18.2,17.6,27.3,29.4,28.6,30.8,43.2,52.7,33.1,36.1,67.0,-18.7,DNC,53.2
Arkansas Pine Bluff,SWAC,29,7,97.6,119.8,0.0864,46.6,19.5,18.7,24.8,36.3,33.6,34.6,48.0,56.1,29.8,36.0,67.4,-17.4,DNC,55.5
Mississippi Valley St.,SWAC,28,2,93.2,115.3,0.0801,44.5,18.1,20.7,23.4,33.9,31.4,36.5,43.8,55.1,30.5,40.0,70.8,-21.3,DNC,56.7
Maine,AE,26,6,92.3,114.2,0.0792,46.9,19.3,18.3,24.0,30.4,20.4,32.8,47.0,53.3,31.0,38.6,66.1,-18.3,DNC,54.9
Central Connecticut,NEC,32,8,90.0,112.5,0.0712,46.0,20.6,18.8,26.3,31.8,29.1,28.8,42.6,53.3,34.2,34.8,65.1,-19.0,DNC,52.9
Delaware St.,MEAC,25,2,86.5,110.1,0.0587,45.0,25.6,19.3,27.0,34.7,32.4,34.2,43.4,48.6,32.2,36.1,68.1,-22.8,DNC,51.1
Eastern Illinois,OVC,29,5,83.0,108.4,0.0442,44.2,24.1,18.2,20.6,32.6,31.2,24.2,42.3,55.8,31.8,33.5,64.9,-20.3,DNC,53.4
IUPUI,Horz,27,3,80.4,109.2,0.0285,42.4,26.1,20.5,30.1,33.0,24.9,37.5,41.6,52.4,29.2,35.5,62.6,-22.4,DNC,52.8
